Date,SiteName,Alt site name,Zone,Lat,Long,TotalWeight,Total%,Gravel,CoarseSand,MediumSand,FineSand,SiltClay,TempC,DO%,DO,SpC,Salinity,pH,Turbidity
10/1/22,MS_B9,P_01,Mullet South,21.4322495,_157.8066923,36.708,100,12.271,11.226,13.972,18.741,43.791,25.3,28.3,1.95,47.985,31.26,7.83,0.71
10/1/22,MS_B10,P_02,Mullet South,21.4333585,_157.8062108,36.539,100,32.646,21.761,9.925,24.244,11.424,26.2,34.9,2.37,48.185,31.38,7.92,0.75
10/1/22,MS_B11,P_03,Mullet South,21.43438,_157.80534,59.917,100,29.637,22.837,9.878,18.066,19.582,27.4,59.5,3.89,52.181,34.28,7.99,0.99
10/1/22,ME_B13,P_04,Mullet East,21.43591,_157.80556,44.272,100,39.237,40.258,9.724,6.388,4.392,27.6,80.8,5.25,52.832,34.76,8.2,0.88
10/1/22,ME_B14,P_05,Mullet East,21.43704,_157.80606,58.144,100,19.361,29.697,9.9,18.589,22.454,27.8,100.9,6.52,53.004,34.88,8.25,0.8
10/1/22,NA,P_06,NA,21.43913,_157.80856,36.614,100,13.16,15.923,5.271,15.953,49.693,27.4,67.1,4.4,50.854,33.3,7.9,2.44
10/1/22,MN_B1,P_07,Mullet North,21.43822,_157.81061,35.681,100,8.952,6.944,6.419,28.968,48.716,27.2,46.8,3.12,48.194,31.36,7.9,1.88
10/1/22,MW_B5,P_08,Mullet West,21.4364,_157.81007,36.569,100,6.197,7.381,9.832,27.512,49.077,27,63,4.26,45.802,29.63,7.82,3.42
10/1/22,MW_B6,P_09,Mullet West,21.4346,_157.80894,57.853,100,22.78,19.963,15.96,3.526,37.772,26.5,41.8,2.83,47.093,30.58,7.8,1.05
10/1/22,MS_B12,P_10,Mullet South,21.43331934,_157.807793,38.103,100,10.404,38.198,12.97,27.437,10.99,26.5,37.4,2.52,48.391,31.52,7.71,0.57
10/1/22,MW_B7,P_11,Mullet West,21.43526813,_157.8080256,56.185,100,7.036,27.74,20.002,27.776,17.446,28.2,131,8.44,52.344,34.38,8.23,0.64
10/1/22,ME_B15,P_12,Mullet East,21.43609408,_157.8066134,41.996,100,45.353,20.708,10.089,17.863,5.986,27.3,66,4.38,48.806,31.81,7.96,0.7
10/1/22,ME_B16,P_13,Mullet East,21.43689497,_157.8073568,42.662,100,34.543,27.754,10.153,19.951,7.6,28,132.9,8.58,52.544,34.53,8.23,0.96
10/1/22,MN_B2,P_14,Mullet North,21.43785747,_157.8089375,28.529,100,18.194,9.754,10.098,18.313,43.641,27.5,54.3,3.57,49.746,32.49,7.89,1.99
10/1/22,MN_B4,P_15,Mullet North,21.43728,_157.80956,28.322,100,0.325,3.732,3.661,52.146,40.136,26.8,60.1,4.05,46.81,30.36,7.85,1.75
3/6/23,MN_B1,P14,Mullet North,21.43822,_157.81061,25.417,100,3.957,2.712,3.97,55.426,33.934,25.741,107.2,"38,026",20.12,7.27,NA,NA
3/6/23,MN_B2,_,Mullet North,21.43785747,_157.8089375,30.416,100,24.104,15.122,14.496,28.419,17.859,25.57,116.3,"48,614",31.33,7.8,NA,NA
3/6/23,MN_B3,P15,Mullet North,21.43725,_157.810889,10.84,100,4.266,5.201,37.327,7.334,45.871,26.223,103.3,"47,118",29.71,7.66,NA,NA
3/6/23,MN_B4,P8,Mullet North,21.43728,_157.80956,19.805,100,3.159,3.553,5.479,48.379,39.431,25.651,116.5,"51,652",33.41,7.81,NA,NA
3/6/23,MW_B5,P9,Mullet West,21.4364,_157.81007,16.387,100,1.502,1.33,2.553,26.488,68.127,25.977,118.9,"52,796",34.06,7.81,NA,NA
3/6/23,MW_B6,P11,Mullet West,21.4346,_157.80894,37.421,100,5.447,18.766,17.425,41.942,16.42,26.345,129.1,"56,030",36.29,7.82,NA,NA
3/6/23,MW_B7,_,Mullet West,21.43526813,_157.8080256,31.141,100,22.356,20.496,15.35,23.744,18.053,26.006,140.4,"55,755",36.18,7.9,NA,NA
3/6/23,MW_B8,P1,Mullet West,21.43555556,_157.8097222,46.234,100,38.443,15.577,12.913,18.135,14.931,26.42,149.1,"55,449",35.66,7.94,NA,NA
3/6/23,MS_B9,P2,Mullet South,21.4322495,_157.8066923,42.676,100,38.765,18.921,5.99,19.272,17.052,25.6,106.8,"55,687",36.42,7.72,NA,NA
3/6/23,MS_B10,P3,Mullet South,21.4333585,_157.8062108,46.647,100,23.979,25.944,14.088,25.733,10.255,25.43,114.4,"56,020",36.86,7.81,NA,NA
3/6/23,MS_B11,P10,Mullet South,21.43438,_157.80534,47.652,100,24.875,22.745,11.505,23.198,17.678,25.704,149.5,"55,477",36.24,7.94,NA,NA
